Interface              IP-Address      OK? Method Status                Protocol 
FastEthernet0/1        unassigned      YES NVRAM  down                  down 
FastEthernet0/2        unassigned      YES NVRAM  up                    up 
FastEthernet0/3        unassigned      YES NVRAM  down                  down 
FastEthernet0/4        unassigned      YES NVRAM  down                  down 
FastEthernet0/5        unassigned      YES NVRAM  down                  down 
FastEthernet0/6        unassigned      YES NVRAM  down                  down 
FastEthernet0/7        unassigned      YES NVRAM  down                  down 
FastEthernet0/8        unassigned      YES NVRAM  down                  down 
FastEthernet0/9        unassigned      YES NVRAM  down                  down 
FastEthernet0/10       unassigned      YES NVRAM  down                  down 
FastEthernet0/11       unassigned      YES NVRAM  down                  down 
FastEthernet0/12       unassigned      YES NVRAM  down                  down 
FastEthernet0/13       unassigned      YES NVRAM  down                  down 
FastEthernet0/14       unassigned      YES NVRAM  down                  down 
FastEthernet0/15       unassigned      YES NVRAM  down                  down 
FastEthernet0/16       unassigned      YES NVRAM  down                  down 
FastEthernet0/17       unassigned      YES NVRAM  down                  down 
FastEthernet0/18       unassigned      YES NVRAM  down                  down 
FastEthernet0/19       unassigned      YES NVRAM  down                  down 
FastEthernet0/20       unassigned      YES NVRAM  down                  down 
FastEthernet0/21       unassigned      YES NVRAM  down                  down 
FastEthernet0/22       unassigned      YES NVRAM  down                  down 
FastEthernet0/23       unassigned      YES NVRAM  down                  down 
FastEthernet0/24       unassigned      YES NVRAM  down                  down 
GigabitEthernet0/1     unassigned      YES NVRAM  up                    up 
GigabitEthernet0/2     unassigned      YES NVRAM  down                  down 
Vlan1                  unassigned      YES NVRAM  administratively down down 
Vlan10                 192.168.10.1    YES NVRAM  up                    up 
Vlan20                 192.168.20.1    YES NVRAM  up                    up
